Release 8.1i - Fit K.31
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 7- 2-2018 10:12AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  cpld.ngd
output file: cpld_pad.csv
Part type:   xc9572xl
Speed grade: -5
Package:     vq44

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,TIE,,I/O/GCK3,,,,,,,,,,
P2,duart_dtack,I,I/O,INPUT,,,,,,,,,
P3,duart_irq,I,I/O,INPUT,,,,,,,,,
P4,GND,,GND,,,,,,,,,,
P5,rw,I,I/O,INPUT,,,,,,,,,
P6,as,I,I/O,INPUT,,,,,,,,,
P7,lds,I,I/O,INPUT,,,,,,,,,
P8,uds,I,I/O,INPUT,,,,,,,,,
P9,TDI,,TDI,,,,,,,,,,
P10,TMS,,TMS,,,,,,,,,,
P11,TCK,,TCK,,,,,,,,,,
P12,e,I,I/O,INPUT,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,TIE,,I/O,,,,,,,,,,
P15,VCC,,VCCINT,,,,,,,,,,
P16,TIE,,I/O,,,,,,,,,,
P17,GND,,GND,,,,,,,,,,
P18,a17,I,I/O,INPUT,,,,,,,,,
P19,a21,I,I/O,INPUT,,,,,,,,,
P20,ipl<2>,O,I/O,OUTPUT,,,,,,,,,
P21,ipl<1>,O,I/O,OUTPUT,,,,,,,,,
P22,ipl<0>,O,I/O,OUTPUT,,,,,,,,,
P23,oe,O,I/O,OUTPUT,,,,,,,,,
P24,TDO,,TDO,,,,,,,,,,
P25,GND,,GND,,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,rom_evn_cs,O,I/O,OUTPUT,,,,,,,,,
P28,rom_odd_cs,O,I/O,OUTPUT,,,,,,,,,
P29,ram_evn_cs,O,I/O,OUTPUT,,,,,,,,,
P30,ram_odd_cs,O,I/O,OUTPUT,,,,,,,,,
P31,berr,O,I/O,OUTPUT,,,,,,,,,
P32,duart_cs,O,I/O,OUTPUT,,,,,,,,,
P33,TIE,,I/O/GSR,,,,,,,,,,
P34,TIE,,I/O/GTS2,,,,,,,,,,
P35,VCC,,VCCINT,,,,,,,,,,
P36,TIE,,I/O/GTS1,,,,,,,,,,
P37,dtack_out,O,I/O,OUTPUT,,,,,,,,,
P38,TIE,,I/O,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,TIE,,I/O,,,,,,,,,,
P43,clk,I,I/O/GCK1,INPUT,,,,,,,,,
P44,clk_out,O,I/O/GCK2,OUTPUT,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


